dataset_id,model_id,model_variant,task_id,window_protocol,history_steps,forecast_steps,stride_steps,split_protocol,split_name,eval_protocol,metric_scope,lead_step,lead_minutes,window_count,prediction_count,start_timestamp,end_timestamp,mae_kw,rmse_kw,mae_pu,rmse_pu,graph_mode,graph_source,coordinate_mode,node_count,input_channels,hidden_dim,embed_dim,num_layers,cheb_k,grad_clip_norm,device,runtime_seconds,train_window_count,val_window_count,test_window_count,best_epoch,epochs_ran,best_val_rmse_pu,seed,batch_size,learning_rate
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,overall,,,47139,10139796,2022-04-22 04:40:00,2023-03-15 18:50:00,237.43743743710425,330.0793566812193,0.11582314034698074,0.1610143208441933,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,1,10,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,106.88947221238475,157.06210987602265,0.05214120648096452,0.07661566341788756,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,2,20,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,132.20346730533336,195.30792120333615,0.0644894958206478,0.09527215699553221,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,3,30,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,147.03495533527007,217.23919341162195,0.07172436909386087,0.10597033879133383,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,4,40,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,160.73006726725566,233.93975896372285,0.0784049108557534,0.11411695603463579,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,5,50,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,168.40195749500285,245.37875872079817,0.08214729664776978,0.11969695569239153,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,6,60,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,179.99165735804743,257.41241699725424,0.08780080875527004,0.12556703319013143,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,7,70,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,186.4122421254518,266.51321833405245,0.090932801148679,0.13000644891946805,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,8,80,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,192.97041272298526,275.8079857775282,0.0941319091614416,0.13454048063378268,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
kelmarsh,AGCRN,masked_power_wd_yaw_pmean_hist_sincos_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,9,90,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,201.0033912664515,283.8745099522571,0.09805043407038767,0.13847537038794655,adaptive,learned_node_embeddings,latlon,6,12,64,10,2,2,5.0,cuda,1250.530391,325905,47139,94458,1,6,0.1610143208441933,42,512,0.001
