dataset_id,model_id,model_variant,task_id,window_protocol,history_steps,forecast_steps,stride_steps,split_protocol,split_name,eval_protocol,metric_scope,lead_step,lead_minutes,window_count,prediction_count,start_timestamp,end_timestamp,mae_kw,rmse_kw,mae_pu,rmse_pu,graph_mode,graph_source,coordinate_mode,node_count,input_channels,hidden_dim,embed_dim,num_layers,cheb_k,grad_clip_norm,device,runtime_seconds,train_window_count,val_window_count,test_window_count,best_epoch,epochs_ran,best_val_rmse_pu,seed,batch_size,learning_rate
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,overall,,,43287,9349992,2022-04-22 04:40:00,2023-03-15 18:50:00,235.94523604939982,333.494350403422,0.11509523757208663,0.16268017143214386,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,1,10,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,98.66527581654616,150.04629433744188,0.04812940286347638,0.07319331425763666,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,2,20,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,126.29532376204172,191.9278736978797,0.06160747524903647,0.09362335312835457,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,3,30,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,144.3806950917712,215.2932543986699,0.07042960843890764,0.10502110002537852,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,4,40,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,156.6815431199032,232.67872342448914,0.07643002041469724,0.1135018163130111,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,5,50,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,165.84451072926052,245.77242565680143,0.0808997631032607,0.11988898836498234,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,6,60,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,175.57030738635927,257.7100850138594,0.08564405216343325,0.1257122371331505,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,7,70,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,183.2828544499022,267.4704608088575,0.08940627050003581,0.1304733954839798,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,8,80,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,191.26662194938243,278.0347661961707,0.0933007905137738,0.13562671533933618,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,9,90,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,196.61714971921901,285.5823992858572,0.0959108059657861,0.13930848802159307,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,10,100,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,203.70921519571888,294.16917888883825,0.09937034795698847,0.1434971609824628,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,11,110,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,208.98322376906847,300.9571257559214,0.10194303502130346,0.14680835385602198,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,12,120,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,214.65337580302207,306.7824276998579,0.10470896290605146,0.14964996443797993,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,13,130,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,220.14236848076982,313.1190382999888,0.10738652167084993,0.15274099369790395,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,14,140,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,225.59476815595136,319.94950027488034,0.11004622815123674,0.1560729265249923,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,15,150,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,230.8592227939874,324.77192662758597,0.1126142547612357,0.1584253296372309,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,16,160,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,235.58465253232302,330.35705642155784,0.11491934150709138,0.16114978314243544,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,17,170,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,241.7294198219635,335.39804607079384,0.11791678988754833,0.1636088027172633,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,18,180,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,246.89840856280946,340.70776136124226,0.1204382484384276,0.1661989081679572,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,19,190,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,251.44334410927837,345.1537832355687,0.12265529079285827,0.16836769878169947,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,20,200,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,255.45890708382424,349.87007265792573,0.12461410145752937,0.17066832865326917,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,21,210,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,259.8798597635164,354.7355702399084,0.12677066337762935,0.17304174119941357,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,22,220,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,262.39176131113265,358.32921072273047,0.12799597958938053,0.1747947363237337,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,23,230,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,265.10527686815135,362.37853459017674,0.12931964705154356,0.17677001750459292,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,24,240,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,268.9995948793325,366.64895052725905,0.13121931485379004,0.1788531473427773,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,25,250,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,273.3987461232587,369.9818201881993,0.13336524202854097,0.1804789373805608,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,26,260,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,277.8227159713078,373.97780159395126,0.13552327626474547,0.18242819559767448,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,27,270,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,281.93038397786864,377.88095211161675,0.13752701767174222,0.18433217116537748,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
kelmarsh,AGCRN,official_aligned_power_only_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,28,280,43287,259722,2022-04-22 04:40:00,2023-03-15 18:50:00,281.51874143314774,381.3142845790448,0.13732621538700665,0.18600696838223632,adaptive,learned_node_embeddings,latlon,6,1,64,10,2,2,5.0,cuda,1531.254292,275587,43287,82024,4,9,0.16268017143214386,42,512,0.001
