dataset_id,model_id,model_variant,task_id,split_name,eval_protocol,metric_scope,feature_budget_id,output_parameterization,residual_input_mode,official_internal_norm,selection_metric,selected_by,no_test_feedback,gate_a_passed,gate_b_passed,gate_b_scope,gate_b_overfit64_passed,gate_c_passed,residual_anchor_steps,formal_search_config_id,is_best_validation_trial,mae_pu_mean,mae_pu_std,rmse_pu_mean,rmse_pu_std,window_count_mean,prediction_count_mean,seed_count,seed_list,main_table_status
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_last_value_persistence_v2,next_6h_from_24h,test,rolling_origin_no_refit,overall,B0,direct,absolute,,val_overall_rmse,validation_only,True,True,,,,True,0.0,analytic_no_tuning,True,0.1191803006738368,0.0,0.1864319364213565,0.0,94458.0,20300940.0,1,3407,main
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_last_value_persistence_v2,next_6h_from_24h,test,non_overlap,overall,B0,direct,absolute,,val_overall_rmse,validation_only,True,True,,,,True,0.0,analytic_no_tuning,True,0.1175100224255484,0.0,0.1841419721371014,0.0,2624.0,563951.0,1,3407,main
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_seasonal_persistence_v2,next_6h_from_24h,test,rolling_origin_no_refit,overall,B0,direct,absolute,,val_overall_rmse,validation_only,True,True,,,,,0.0,analytic_no_tuning,True,0.2337544811084132,0.0,0.3275596232977636,0.0,94458.0,20300940.0,1,3407,main
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_seasonal_persistence_v2,next_6h_from_24h,test,non_overlap,overall,B0,direct,absolute,,val_overall_rmse,validation_only,True,True,,,,,0.0,analytic_no_tuning,True,0.2320666076661212,0.0,0.3259548953727503,0.0,2624.0,563951.0,1,3407,main
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,test,rolling_origin_no_refit,overall,B0,residual,absolute,,val_overall_rmse,validation_only,True,True,False,,,True,0.0,ridge_b0_alpha_0,True,0.1181243181731955,0.0,0.1696576665830022,0.0,94458.0,20300940.0,1,3407,main
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,test,non_overlap,overall,B0,residual,absolute,,val_overall_rmse,validation_only,True,True,False,,,True,0.0,ridge_b0_alpha_0,True,0.1168192044241188,0.0,0.1682716599997394,0.0,2624.0,563951.0,1,3407,main
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,chronos2_official_zero_shot_b2_v2,next_6h_from_24h,test,non_overlap,overall,B2,direct,absolute,,val_overall_rmse,validation_only,True,True,,,,,0.0,chronos2_zero_shot_b2,True,0.1160550732524346,0.0,0.1813592911461685,0.0,2624.0,563951.0,1,3407,main
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,chronos2_official_zero_shot_b2_v2,next_6h_from_24h,test,rolling_origin_no_refit,overall,,,,,val_overall_rmse,validation_only,True,,,,,,,chronos2_zero_shot_b2,,0.1173454579978753,0.0,0.1838340948876166,0.0,94458.0,20300940.0,1,3407,main
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,itransformer_official_target_only_residual_b0_v2,next_6h_from_24h,test,rolling_origin_no_refit,overall,B0,residual,,,val_overall_rmse,validation_only,True,True,True,overfit64_preflight,1.0,True,1.0,itransformer_target_only_d128_h4_e2_dropout0.1_lr0.0003_anchor1,True,0.1171583194727814,0.000729897987425,0.1704982415788237,8.845044330562173e-05,94458.0,20300940.0,5,"17,2026,3407,42,926",main
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,itransformer_official_target_only_residual_b0_v2,next_6h_from_24h,test,non_overlap,overall,B0,residual,,,val_overall_rmse,validation_only,True,True,True,overfit64_preflight,1.0,True,1.0,itransformer_target_only_d128_h4_e2_dropout0.1_lr0.0003_anchor1,True,0.1159176185985958,0.0006084260411042,0.1691209617542566,0.0003670215774195,2624.0,563951.0,5,"17,2026,3407,42,926",main
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,mtgnn_official_core_calendar_residual_b1_v2,next_6h_from_24h,test,rolling_origin_no_refit,overall,B1,residual,,,val_overall_rmse,validation_only,True,True,True,overfit64_preflight,1.0,True,1.0,mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,True,0.1192157191998757,0.0014155071348138,0.1829422554946365,0.0081033506051365,94458.0,20300940.0,5,"17,2026,3407,42,926",main
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,mtgnn_official_core_calendar_residual_b1_v2,next_6h_from_24h,test,non_overlap,overall,B1,residual,,,val_overall_rmse,validation_only,True,True,True,overfit64_preflight,1.0,True,1.0,mtgnn_calendar_gcn2_sub3_node32_res32_skip64_end128_layers2_dropout0_lr0.003_anchor1,True,0.1176898424278366,0.0011269622765155,0.1809214070851664,0.0074530598882907,2624.0,563951.0,5,"17,2026,3407,42,926",main
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,timexer_official_target_only_residual_b0_v2,next_6h_from_24h,test,rolling_origin_no_refit,overall,B0,residual,,,val_overall_rmse,validation_only,True,True,True,overfit64_preflight,1.0,True,1.0,timexer_target_only_d128_h4_e2_dropout0.1_patch12_lr0.0003_anchor1,True,0.1170163094613866,0.0008400801410253,0.1695532378845491,8.06130451468785e-05,94458.0,20300940.0,5,"17,2026,3407,42,926",main
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,timexer_official_target_only_residual_b0_v2,next_6h_from_24h,test,non_overlap,overall,B0,residual,,,val_overall_rmse,validation_only,True,True,True,overfit64_preflight,1.0,True,1.0,timexer_target_only_d128_h4_e2_dropout0.1_patch12_lr0.0003_anchor1,True,0.1160421576058107,0.0007164392186023,0.1685260824470932,0.0002261437885994,2624.0,563951.0,5,"17,2026,3407,42,926",main
