dataset_id,model_id,task_id,history_steps,forecast_steps,stride_steps,target_policy,window_count,prediction_count,start_timestamp,end_timestamp,mae_kw,rmse_kw,mae_pu,rmse_pu,device,runtime_seconds,layout,covariate_stage,covariate_pack,feature_set,covariate_count,covariate_policy
hill_of_towie,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,263314,9449132,2016-01-02 00:00:00,2024-08-31 23:50:00,293.96622931422485,481.27545397092246,0.12781140404966299,0.209250197378662,cuda,732.631925,univariate,stage1_core,stage1_core,default,11,dataset_custom_past_only
hill_of_towie,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,263314,9449132,2016-01-02 00:00:00,2024-08-31 23:50:00,292.35398299480477,478.6879651058864,0.1271104273890455,0.20812520221995068,cuda,1209.43803,univariate,stage2_ops,stage2_ops,default,19,dataset_custom_past_only
hill_of_towie,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,263314,9449132,2016-01-02 00:00:00,2024-08-31 23:50:00,291.7902462575684,480.77314590841615,0.1268653244598124,0.2090318025688766,cuda,1861.625869,univariate,stage3_regime,stage3_regime,default,30,dataset_custom_past_only
kelmarsh,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,77647,2783551,2016-01-21 18:00:00,2024-12-31 23:50:00,244.5853716490245,378.38381496001995,0.11930993738976822,0.18457747071220498,cuda,248.382538,univariate,stage1_core,stage1_core,lightweight,13,dataset_custom_past_only
kelmarsh,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,77647,2783551,2016-01-21 18:00:00,2024-12-31 23:50:00,245.18943020667334,382.58606047349946,0.11960460010081649,0.18662734657243876,cuda,389.746464,univariate,stage2_ops,stage2_ops,lightweight,21,dataset_custom_past_only
kelmarsh,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,77647,2783551,2016-01-21 18:00:00,2024-12-31 23:50:00,244.08200603730268,381.83636030457467,0.11906439318892799,0.18626163917296326,cuda,583.00768,univariate,stage3_regime,stage3_regime,lightweight,32,dataset_custom_past_only
penmanshiel,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,156884,5630169,2016-06-03 17:40:00,2024-12-31 22:10:00,283.76555598465194,451.8831550342297,0.13842222243153798,0.22043080733377066,cuda,502.710455,univariate,stage1_core,stage1_core,lightweight,13,dataset_custom_past_only
penmanshiel,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,156884,5630169,2016-06-03 17:40:00,2024-12-31 22:10:00,283.0969220873921,454.78929587336455,0.13809605955482546,0.22184843701139714,cuda,783.996721,univariate,stage2_ops,stage2_ops,lightweight,21,dataset_custom_past_only
penmanshiel,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,156884,5630169,2016-06-03 17:40:00,2024-12-31 22:10:00,281.8010268230552,454.6695135500929,0.13746391552344164,0.22179000660980122,cuda,1207.393842,univariate,stage3_regime,stage3_regime,lightweight,33,dataset_custom_past_only
sdwpf_kddcup,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,123011,3571687,2020-05-02 00:00:00,2020-12-31 23:50:00,241.58172134260343,355.6546573485101,0.16105448089506894,0.23710310489900674,cuda,170.037286,univariate,stage1_core,stage1_core,default,5,dataset_custom_past_only
sdwpf_kddcup,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,123011,3571687,2020-05-02 00:00:00,2020-12-31 23:50:00,240.3581820235654,353.58024809726277,0.16023878801571026,0.2357201653981752,cuda,279.387178,univariate,stage2_ops,stage2_ops,default,9,dataset_custom_past_only
sdwpf_kddcup,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,123011,3571687,2020-05-02 00:00:00,2020-12-31 23:50:00,241.0467876314803,355.7862188669209,0.1606978584209869,0.23719081257794722,cuda,359.991098,univariate,stage3_regime,stage3_regime,default,12,dataset_custom_past_only
