dataset_id,model_id,model_variant,task_id,window_protocol,history_steps,forecast_steps,stride_steps,split_protocol,split_name,eval_protocol,metric_scope,lead_step,lead_minutes,covariate_stage,covariate_pack,feature_set,covariate_count,covariate_policy,window_count,prediction_count,start_timestamp,end_timestamp,mae_kw,rmse_kw,mae_pu,rmse_pu,device,runtime_seconds,train_window_count,val_window_count,test_window_count,best_epoch,epochs_ran,best_val_rmse_pu,seed,batch_size,learning_rate
kelmarsh,LTSF-Linear,nlinear,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,overall,,,reference,power_only,lightweight,0,none,273813,9857268,2022-04-22 04:40:00,2023-03-15 18:50:00,231.83104761586196,343.47687292380743,0.11308831603205022,0.16754969326397953,mps,79.22595,1820568,273813,545138,2,7,0.16754969326397953,42,1024,0.001
kelmarsh,LTSF-Linear,nlinear,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,1,10,reference,power_only,lightweight,0,none,273813,273813,2022-04-22 04:40:00,2023-03-15 18:50:00,92.62195975227405,148.18301885034464,0.045181443876084595,0.07228439938060573,mps,79.22595,1820568,273813,545138,2,7,0.16754969326397953,42,1024,0.001
kelmarsh,LTSF-Linear,nlinear,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,2,20,reference,power_only,lightweight,0,none,273813,273813,2022-04-22 04:40:00,2023-03-15 18:50:00,123.92195448771793,192.09909647993177,0.06044973384294662,0.09370687646468531,mps,79.22595,1820568,273813,545138,2,7,0.16754969326397953,42,1024,0.001
kelmarsh,LTSF-Linear,nlinear,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,3,30,reference,power_only,lightweight,0,none,273813,273813,2022-04-22 04:40:00,2023-03-15 18:50:00,139.54011779656537,215.8539289278116,0.06806835011565039,0.10529459948215554,mps,79.22595,1820568,273813,545138,2,7,0.16754969326397953,42,1024,0.001
kelmarsh,LTSF-Linear,nlinear,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,4,40,reference,power_only,lightweight,0,none,273813,273813,2022-04-22 04:40:00,2023-03-15 18:50:00,150.9745236183449,233.2966111099857,0.07364610903850524,0.11380322448443488,mps,79.22595,1820568,273813,545138,2,7,0.16754969326397953,42,1024,0.001
kelmarsh,LTSF-Linear,nlinear,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,5,50,reference,power_only,lightweight,0,none,273813,273813,2022-04-22 04:40:00,2023-03-15 18:50:00,161.0432122648103,247.30392865614508,0.07855766480309039,0.12063606268927518,mps,79.22595,1820568,273813,545138,2,7,0.16754969326397953,42,1024,0.001
kelmarsh,LTSF-Linear,nlinear,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,6,60,reference,power_only,lightweight,0,none,273813,273813,2022-04-22 04:40:00,2023-03-15 18:50:00,169.68724948330956,259.6731978442414,0.08277426845315208,0.12666985329052716,mps,79.22595,1820568,273813,545138,2,7,0.16754969326397953,42,1024,0.001
kelmarsh,LTSF-Linear,nlinear,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,7,70,reference,power_only,lightweight,0,none,273813,273813,2022-04-22 04:40:00,2023-03-15 18:50:00,178.71572876946212,270.0412301967215,0.08717840468299294,0.13172742934568366,mps,79.22595,1820568,273813,545138,2,7,0.16754969326397953,42,1024,0.001
kelmarsh,LTSF-Linear,nlinear,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,8,80,reference,power_only,lightweight,0,none,273813,273813,2022-04-22 04:40:00,2023-03-15 18:50:00,187.2108723158539,279.78606743124766,0.0913223768960836,0.1364810089515433,mps,79.22595,1820568,273813,545138,2,7,0.16754969326397953,42,1024,0.001
kelmarsh,LTSF-Linear,nlinear,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,9,90,reference,power_only,lightweight,0,none,273813,273813,2022-04-22 04:40:00,2023-03-15 18:50:00,194.041904258138,288.6929056681734,0.09465458695150562,0.14082580787948107,mps,79.22595,1820568,273813,545138,2,7,0.16754969326397953,42,1024,0.001
