label,status,rolling_rmse,rolling_rmse_std,rolling_mae,rolling_mae_std,rolling_seed_count,non_overlap_rmse,non_overlap_rmse_std,non_overlap_mae,non_overlap_mae_std,non_overlap_seed_count
Official v2: Last value,main,0.1864319364213565,0.0,0.1191803006738368,0.0,1,0.1841419721371014,0.0,0.1175100224255484,0.0,1
Official v2: Seasonal,main,0.3275596232977636,0.0,0.2337544811084132,0.0,1,0.3259548953727503,0.0,0.2320666076661212,0.0,1
Official v2: Ridge residual B0,main,0.1696576665830022,0.0,0.1181243181731955,0.0,1,0.1682716599997394,0.0,0.1168192044241188,0.0,1
Official v2: Chronos-2 B2,main,0.1838340948876166,0.0,0.1173454579978753,0.0,1,0.1813592911461685,0.0,0.1160550732524346,0.0,1
Official v2: iTransformer residual B0,main,0.1704982415788237,8.845044330562173e-05,0.1171583194727814,0.000729897987425,5,0.1691209617542566,0.0003670215774195,0.1159176185985958,0.0006084260411042,5
Official v2: TimeXer residual B0,main,0.1695532378845491,8.06130451468785e-05,0.1170163094613866,0.0008400801410253,5,0.1685260824470932,0.0002261437885994,0.1160421576058107,0.0007164392186023,5
Official v2: MTGNN residual B1,main,0.1829422554946365,0.0081033506051365,0.1192157191998757,0.0014155071348138,5,0.1809214070851664,0.0074530598882907,0.1176898424278366,0.0011269622765155,5
Official v2: DGCRN rescue B2,appendix_diagnostic,0.17115673106620305,0.0010917812427790347,0.11918943212490521,0.0014952693609184497,5,0.16960532181064653,0.000791436394276978,0.11798289708329632,0.0014024640792837625,5
Official v2: TFT-PF B2,appendix_diagnostic,0.2204885487978146,nan,0.15268364998997655,nan,1,nan,nan,nan,nan,0
State-space: Official canonical,main,0.1726780602201381,nan,0.11205089806046813,nan,1,0.17200447051139292,nan,0.11160896317084314,nan,1
State-space: Best ablation (no_farm_aux),diagnostic,0.17013167557368636,nan,0.111100041307595,nan,1,0.16929021199604607,nan,0.11057788169186297,nan,1
State-space: Residual scratch (farm=0.05),diagnostic,0.16903495684205913,nan,0.10989370472634379,nan,1,0.1675846752575008,nan,0.10919157731567104,nan,1
State-space: Residual scratch (farm=0.0),diagnostic,0.16857054350012834,nan,0.11021619727150142,nan,1,0.16726122558450687,nan,0.10960607363757556,nan,1
State-space: Global-local residual,diagnostic,0.16964260571761444,nan,0.11113997241009645,nan,1,0.16812098572701545,nan,0.11041881231096679,nan,1
State-space: Global-local increment,diagnostic,0.17820282918554642,nan,0.11655839178337656,nan,1,0.17671624788821794,nan,0.11592371075242186,nan,1
State-space: Ramp v2 residual (0.00),diagnostic,0.16912379338884903,nan,0.11082406593057736,nan,1,0.16740592546557523,nan,0.10980238960376627,nan,1
State-space: Ramp v2 residual (0.02),diagnostic,0.1683191389726782,nan,0.11035057547794161,nan,1,0.16650313202676012,nan,0.10949931668798851,nan,1
State-space: Ramp v2 residual (0.05),diagnostic,0.1682302756296742,nan,0.11048805936410765,nan,1,0.16640553532856361,nan,0.10957428627719873,nan,1
State-space: Edge residual control,diagnostic,0.16912379338884903,nan,0.11082406593057736,nan,1,0.16740592546557523,nan,0.10980238960376627,nan,1
State-space: Edge gated sum,diagnostic,0.16982861405276767,nan,0.11175757461942804,nan,1,0.16867451194773467,nan,0.11117474872422149,nan,1
State-space: Edge rotor wake,diagnostic,0.17010518831621407,nan,0.11141087759994889,nan,1,0.16922464035778464,nan,0.11073068057251566,nan,1
State-space: Edge gated + rotor wake,diagnostic,0.16897972310687737,nan,0.11055247646908915,nan,1,0.16758840702578767,nan,0.1097435653242979,nan,1
