label,eval_protocol,lead_step,lead_minutes,rmse_pu,mae_pu,source
State-space: Official canonical,rolling_origin_no_refit,1,10,0.07840029405525271,0.048482624178864654,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,2,20,0.09719442934026697,0.06067835610770907,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,3,30,0.1085253289337427,0.06813735258388681,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,4,40,0.11692250787669739,0.07380441826462464,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,5,50,0.1237459328298643,0.07849798302885397,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,6,60,0.1294615973946433,0.08251040490566149,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,7,70,0.1344271822024225,0.08619009495039397,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,8,80,0.13921647294677908,0.08962848847633434,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,9,90,0.14357343468318204,0.0927816634096436,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,10,100,0.14774195815628946,0.09579422319609641,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,11,110,0.15159110500066125,0.09858514699128128,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,12,120,0.15513618828372508,0.10116827881501207,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,13,130,0.15861970132448822,0.10369181952922081,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,14,140,0.16195513734224778,0.10608439112631704,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,15,150,0.16529861702132775,0.1085058061140698,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,16,160,0.1687124856520592,0.11086646390574502,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,17,170,0.17146957012192435,0.11304329552103401,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,18,180,0.17460619230449298,0.11530742563242083,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,19,190,0.1776879933667132,0.11756263692254507,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,20,200,0.18031229465760804,0.11970241037894068,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,21,210,0.18304661285250282,0.12173065827919666,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,22,220,0.1855815780506251,0.12377257166617159,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,23,230,0.18819681167211338,0.12585871988798802,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,24,240,0.19065265817357638,0.12770985473222604,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,25,250,0.1932115102826738,0.1295888467327701,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,26,260,0.19539472279955516,0.13139961187002572,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,27,270,0.19757814148836428,0.1331500492660966,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,28,280,0.19969719252657672,0.13490458977778097,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,29,290,0.2018394376969142,0.13647776457133762,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,30,300,0.20382667374443098,0.13806342358514465,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,31,310,0.20590388308518756,0.13969663608478272,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,32,320,0.20769736551110202,0.14115822877634718,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,33,330,0.20945230291196784,0.14262381178946534,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,34,340,0.21146195117653918,0.14415067254656153,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,35,350,0.21325189260085356,0.14556658680302456,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,rolling_origin_no_refit,36,360,0.21496418221306415,0.1469570214401503,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,non_overlap,1,10,0.07758719508530151,0.048351259967971925,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,non_overlap,2,20,0.09839155341224409,0.06128193881636291,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,non_overlap,3,30,0.10794106231387988,0.06749974045456882,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,non_overlap,4,40,0.11574586611936649,0.07323901322769459,experiment/artifacts/published/world_model_state_space_v1/latest.csv
State-space: Official canonical,non_overlap,5,50,0.12179338108401859,0.07782774728538507,experiment/artifacts/published/world_model_state_space_v1/latest.csv
