source_asset,source_table_or_file,source_column,decision,mask_rule,canonical_outputs,required_for_protocols,reason,notes
Hill_of_Towie_alarms_description,Hill_of_Towie_alarms_description,Alarm Code,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
Hill_of_Towie_alarms_description,Hill_of_Towie_alarms_description,Description,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
Hill_of_Towie_alarms_description,Hill_of_Towie_alarms_description,Stopping,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
Hill_of_Towie_grid_fields_description,Hill_of_Towie_grid_fields_description,Field Description,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
Hill_of_Towie_grid_fields_description,Hill_of_Towie_grid_fields_description,Manufacturer Name,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
Hill_of_Towie_grid_fields_description,Hill_of_Towie_grid_fields_description,Table,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
Hill_of_Towie_grid_fields_description,Hill_of_Towie_grid_fields_description,Unit,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
Hill_of_Towie_tables_description,Hill_of_Towie_tables_description,Description,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
Hill_of_Towie_tables_description,Hill_of_Towie_tables_description,Name,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
Hill_of_Towie_turbine_fields_description,Hill_of_Towie_turbine_fields_description,Field Description,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
Hill_of_Towie_turbine_fields_description,Hill_of_Towie_turbine_fields_description,Manufacturer Name,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
Hill_of_Towie_turbine_fields_description,Hill_of_Towie_turbine_fields_description,Table,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
Hill_of_Towie_turbine_fields_description,Hill_of_Towie_turbine_fields_description,Unit,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
aeroup_timeline,Hill_of_Towie_AeroUp_install_dates,First date of AeroUp works,keep,,,,Retained by the current dataset-side processing pipeline or core row alignment.,
aeroup_timeline,Hill_of_Towie_AeroUp_install_dates,Last date of AeroUp works,keep,,,,Retained by the current dataset-side processing pipeline or core row alignment.,
aeroup_timeline,Hill_of_Towie_AeroUp_install_dates,Turbine,keep,,,,Retained by the current dataset-side processing pipeline or core row alignment.,
shutdown_duration,ShutdownDuration,ShutdownDuration,keep,,,,Retained by the current dataset-side processing pipeline or core row alignment.,
shutdown_duration,ShutdownDuration,TimeStamp_StartFormat,keep,,,,Retained by the current dataset-side processing pipeline or core row alignment.,
shutdown_duration,ShutdownDuration,TurbineName,keep,,,,Retained by the current dataset-side processing pipeline or core row alignment.,
tblAlarmLog,tblAlarmLog,Alarmcode,keep,,,,Retained by the current dataset-side processing pipeline or core row alignment.,
tblAlarmLog,tblAlarmLog,StationNr,keep,,,,Retained by the current dataset-side processing pipeline or core row alignment.,
tblAlarmLog,tblAlarmLog,TimeOff,keep,,,,Retained by the current dataset-side processing pipeline or core row alignment.,
tblAlarmLog,tblAlarmLog,TimeOn,keep,,,,Retained by the current dataset-side processing pipeline or core row alignment.,
tblDailySummary,tblDailySummary,ActiveEnergyExport,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ActiveEnergyExportTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ActiveEnergyImport,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ActiveEnergyImportTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,Availability2,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,Availability2Sub,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,Availability2Tot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,Availabillity,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,AvailabillitySub,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,AvailabillityTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,CapacityFactor,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ConsumedLifeTimeBladeA,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ConsumedLifeTimeBladeATot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ConsumedLifeTimeBladeB,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ConsumedLifeTimeBladeBTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ConsumedLifeTimeBladeC,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ConsumedLifeTimeBladeCTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,CurtailmentEnergy,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,CurtailmentEnergyTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,CurtailmentExternalEnergy,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,CurtailmentExternalHours,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,CurtailmentHours,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
