source_asset,source_table_or_file,source_column,decision,mask_rule,canonical_outputs,required_for_protocols,reason,notes
farm_grid_meter,Device_Data_Grid_Meter,Date and time,keep,,,,Retained by the current dataset-side processing pipeline. Timestamp retained so dropped payloads still align cleanly.,
farm_grid_meter,Device_Data_Grid_Meter,Energy Budget - Default (kWh),drop,,,,Dropped before silver to avoid rebuilding unused raw columns. Not required by the supported farm task bundles.,
farm_grid_meter,Device_Data_Grid_Meter,Energy meter based availability,drop,,,,Dropped before silver to avoid rebuilding unused raw columns. Not required by the supported farm task bundles.,
farm_grid_meter,Device_Data_Grid_Meter,Equivalent Full Load Hours (s),drop,,,,Dropped before silver to avoid rebuilding unused raw columns. Not required by the supported farm task bundles.,
farm_grid_meter,Device_Data_Grid_Meter,Equivalent Full Load Hours counter (s),drop,,,,Dropped before silver to avoid rebuilding unused raw columns. Not required by the supported farm task bundles.,
farm_grid_meter,Device_Data_Grid_Meter,Grid Meter Data Availability,drop,,,,Dropped before silver to avoid rebuilding unused raw columns. Not required by the supported farm task bundles.,
farm_grid_meter,Device_Data_Grid_Meter,Grid Meter Energy Export (kWh),drop,,,,Dropped before silver to avoid rebuilding unused raw columns. Not required by the supported farm task bundles.,
farm_grid_meter,Device_Data_Grid_Meter,Grid Meter Energy Export counter (kWh),drop,,,,Dropped before silver to avoid rebuilding unused raw columns. Not required by the supported farm task bundles.,
farm_grid_meter,Device_Data_Grid_Meter,Grid Meter Net Energy (kWh),drop,,,,Dropped before silver to avoid rebuilding unused raw columns. Not required by the supported farm task bundles.,
farm_grid_meter,Device_Data_Grid_Meter,Grid Meter Performance Ratio ,drop,,,,Dropped before silver to avoid rebuilding unused raw columns. Not required by the supported farm task bundles.,
farm_grid_meter,Device_Data_Grid_Meter,Grid Meter Performance Ratio (IEC),drop,,,,Dropped before silver to avoid rebuilding unused raw columns. Not required by the supported farm task bundles.,
farm_grid_meter,Device_Data_Grid_Meter,Grid Meter Performance Ratio Time Window,drop,,,,Dropped before silver to avoid rebuilding unused raw columns. Not required by the supported farm task bundles.,
farm_grid_meter,Device_Data_Grid_Meter,Grid Meter Power factor (tanphi),drop,,,,Dropped before silver to avoid rebuilding unused raw columns. Not required by the supported farm task bundles.,
farm_grid_meter,Device_Data_Grid_Meter,Meter Virtual Production (kWh),drop,,,,Dropped before silver to avoid rebuilding unused raw columns. Not required by the supported farm task bundles.,
farm_grid_meter,Device_Data_Grid_Meter,Site average solar irradiation (Wh/m2),drop,,,,Dropped before silver to avoid rebuilding unused raw columns. Not required by the supported farm task bundles.,
farm_grid_meter,Device_Data_Grid_Meter,Site average solar irradiation counter (Wh/m2),drop,,,,Dropped before silver to avoid rebuilding unused raw columns. Not required by the supported farm task bundles.,
farm_pmu,Device_Data_PMU,Date and time,keep,,timestamp,all,Retained by the current dataset-side processing pipeline. Timestamp key.,
farm_pmu,Device_Data_PMU,Energy Budget - Default (kWh),drop,,,,Dropped before silver to avoid rebuilding unused raw columns. Not required by the supported farm task bundles.,
farm_pmu,Device_Data_PMU,Energy meter based availability,drop,,,,Dropped before silver to avoid rebuilding unused raw columns. Not required by the supported farm task bundles.,
farm_pmu,Device_Data_PMU,Equivalent Full Load Hours (s),drop,,,,Dropped before silver to avoid rebuilding unused raw columns. Not required by the supported farm task bundles.,
